crash_id,vehicle_id
20241115,1
20241125,2
20246013,3
20241002,4
20243185,5
20244016,6
20243168,7
20246003,8
20246001,9
20244081,10
20241087,11
20241054,12
20244042,13
20243246,14
20241101,15
20241216,16
20241300,17
20243007,18
20241278,19
20241149,20
20241068,21
20243273,22
20244020,23
20244055,24
20241094,25
20243160,26
20243209,27
20244001,28
20243243,29
20246016,30
20241119,31
20241169,32
20241291,33
20243036,34
20244026,35
20241077,36
20241028,37
20241022,38
20243015,39
20244023,40
20241098,41
20243114,42
20241040,43
20241174,44
20241088,45
20241255,46
20241053,47
20243046,48
20241080,49
20243044,50
20241274,51
20243176,52
20241181,53
20243110,54
20244044,55
20243147,56
20244019,57
20241194,58
20241139,59
20241197,60
20243220,61
20243267,62
20241057,63
20243174,64
20241166,65
20243213,66
20241096,67
20242089,68
20243073,69
20241027,70
20241163,71
20243143,72
20241222,73
20241218,74
20243249,75
20243098,76
20241306,77
20243037,78
20244083,79
20241196,80
20244028,81
20243038,82
20242023,83
20242230,84
20242127,85
20242120,86
20241106,87
20241230,88
20241055,89
20241267,90
20242260,91
20242057,92
20243153,93
20242161,94
20241236,95
20243172,96
20241188,97
20243191,98
20241256,99
20242019,100
20243008,101
20243001,102
20243041,103
20244021,104
20243113,105
20241107,106
20243022,107
20248002,108
20242088,109
20241173,110
20241004,111
20246004,112
20241201,113
20241029,114
20243005,115
20241261,116
20244024,117
20241215,118
20243186,119
20243208,120
20241134,121
20243040,122
20241263,123
20241302,124
20241147,125
20243248,126
20243096,127
20241150,128
20241247,129
20241234,130
20242110,131
20242052,132
20243247,133
20243144,134
20241235,135
20243087,136
20244061,137
20241009,138
20241072,139
20243129,140
20242219,141
20241219,142
20244010,143
20244040,144
20243171,145
20242075,146
20243079,147
20241045,148
20243017,149
20241160,150
20241081,151
20241135,152
20241209,153
20242140,154
20242142,155
20243107,156
20243020,157
20241151,158
20243158,159
20241286,160
20243102,161
20241303,162
20246029,163
20248005,164
20244018,165
20241060,166
20242022,167
20241037,168
20241257,169
20241128,170
20243089,171
20242181,172
20243082,173
20243150,174
20243170,175
20243239,176
20242040,177
20243084,178
20241030,179
20243127,180
20243003,181
20243266,182
20241042,183
20243121,184
20241175,185
20243072,186
20244057,187
20241091,188
20243201,189
20242135,190
20243225,191
20241167,192
20244060,193
20241268,194
20244013,195
20243235,196
20244059,197
20241266,198
20243131,199
20242080,200
20241287,201
20241152,202
20243161,203
20242042,204
20243210,205
20244025,206
20243088,207
20241211,208
20242007,209
20241204,210
20244062,211
20241137,212
20243117,213
20242081,214
20243206,215
20248003,216
20244032,217
20241153,218
20242138,219
20243198,220
20242107,221
20243080,222
20242204,223
20242139,224
20241103,225
20242129,226
20244027,227
20243006,228
20243108,229
20243212,230
20241237,231
20241052,232
20241308,233
20246027,234
20244072,235
20241195,236
20244043,237
20241102,238
20243194,239
20243070,240
20243165,241
20241063,242
20241132,243
20241292,244
20241189,245
20241233,246
20242115,247
20242167,248
20241016,249
20243234,250
20246025,251
20241220,252
20241034,253
20242012,254
20243009,255
20241269,256
20242093,257
20242176,258
20242255,259
20241066,260
20242175,261
20243207,262
20242029,263
20241246,264
20241078,265
20243064,266
20241013,267
20246019,268
20242257,269
20241138,270
20244014,271
20244069,272
20242053,273
20243111,274
20243067,275
20242186,276
20242250,277
20243167,278
20243106,279
20242098,280
20241179,281
20242070,282
20243261,283
20243227,284
20242243,285
20242102,286
20241109,287
20243187,288
20241301,289
20243135,290
20241248,291
20243268,292
20242071,293
20241020,294
20241294,295
20241304,296
20242123,297
20242144,298
20241199,299
20243066,300
20243233,301
20243203,302
20242209,303
20242056,304
20242130,305
20243109,306
20243010,307
20243181,308
20246018,309
20241071,310
20241186,311
20243078,312
20241223,313
20241221,314
20241143,315
20243242,316
20242189,317
20242170,318
20243043,319
20241140,320
20244063,321
20241131,322
20242172,323
20241111,324
20242055,325
20241017,326
20244067,327
20246024,328
20241254,329
20243011,330
20246011,331
20242177,332
20241127,333
20241210,334
20242132,335
20242184,336
20241253,337
20243024,338
20242224,339
20243031,340
20242069,341
20243156,342
20242251,343
20244034,344
20242090,345
20243231,346
20242194,347
20243142,348
20242043,349
20243124,350
20244007,351
20242060,352
20243104,353
20244041,354
20246026,355
20243021,356
20242155,357
20242032,358
20241285,359
20244066,360
20242064,361
20242164,362
20244035,363
20243018,364
20242086,365
20243217,366
20243251,367
20243058,368
20244046,369
20243085,370
20244039,371
20243240,372
20246002,373
20242099,374
20243063,375
20241176,376
20247022,377
20241086,378
20241224,379
20241265,380
20241202,381
20246023,382
20241293,383
20241299,384
20244078,385
20243164,386
20242201,387
20241307,388
20242074,389
20241243,390
20247034,391
20241260,392
20243004,393
20246014,394
20242024,395
20243169,396
20243081,397
20242169,398
20241110,399
20241082,400
20241159,401
20246022,402
20241229,403
20242026,404
20242268,405
20242238,406
20242122,407
20241046,408
20243192,409
20241032,410
20241031,411
20243254,412
20243133,413
20241203,414
20243118,415
20243173,416
20243199,417
20244003,418
20241298,419
20242112,420
20243092,421
20243042,422
20244005,423
20243178,424
20244050,425
20241208,426
20242259,427
20242212,428
20243019,429
20241036,430
20242226,431
20247007,432
20243074,433
20241003,434
20241277,435
20241249,436
20242020,437
20242108,438
20243120,439
20242187,440
20243116,441
20242133,442
20241092,443
20242121,444
20243214,445
20241118,446
20243157,447
20241190,448
20241097,449
20242265,450
20241250,451
20242200,452
20242234,453
20242048,454
20242003,455
20243252,456
20243061,457
20242162,458
20244071,459
20241047,460
20241205,461
20241024,462
20242096,463
20242240,464
20243139,465
