crash_id,timecat_id
20241115,1
20241125,2
20246013,3
20241002,3
20243185,4
20244016,4
20243168,5
20246003,5
20246001,5
20244081,1
20241087,1
20241054,1
20244042,1
20243246,3
20241101,3
20241216,4
20241300,4
20243007,4
20241278,4
20241149,6
20241068,1
20243273,1
20244020,3
20244055,3
20241094,4
20243160,4
20243209,4
20244001,4
20243243,4
20246016,4
20241119,4
20241169,1
20241291,1
20243036,1
20244026,2
20241077,2
20241028,2
20241022,3
20243015,4
20244023,4
20241098,4
20243114,4
20241040,4
20241174,4
20241088,6
20241255,5
20241053,1
20243046,1
20241080,1
20243044,4
20241274,4
20243176,1
20241181,2
20243110,3
20244044,4
20243147,4
20244019,5
20241194,1
20241139,1
20241197,1
20243220,1
20243267,1
20241057,4
20243174,6
20241166,6
20243213,1
20241096,1
20242089,2
20243073,3
20241027,3
20241163,4
20243143,4
20241222,4
20241218,6
20243249,5
20243098,5
20241306,1
20243037,2
20244083,2
20241196,3
20244028,4
20243038,4
20242023,4
20242230,4
20242127,4
20242120,4
20241106,4
20241230,6
20241055,6
20241267,5
20242260,1
20242057,1
20243153,3
20242161,3
20241236,3
20243172,3
20241188,3
20243191,6
20241256,6
20242019,5
20243008,5
20243001,1
20243041,1
20244021,1
20243113,1
20241107,1
20243022,1
20248002,1
20242088,1
20241173,1
20241004,2
20246004,2
20241201,2
20241029,3
20243005,3
20241261,3
20244024,3
20241215,4
20243186,6
20243208,1
20241134,1
20243040,1
20241263,1
20241302,1
20241147,1
20243248,3
20243096,3
20241150,4
20241247,4
20241234,6
20242110,6
20242052,5
20243247,1
20243144,2
20241235,3
20243087,3
20244061,3
20241009,3
20241072,4
20243129,4
20242219,4
20241219,4
20244010,4
20244040,4
20243171,6
20242075,6
20243079,6
20241045,5
20243017,1
20241160,6
20241081,5
20241135,1
20241209,1
20242140,2
20242142,2
20243107,3
20243020,3
20241151,3
20243158,4
20241286,4
20243102,6
20241303,6
20246029,6
20248005,6
20244018,5
20241060,5
20242022,1
20241037,1
20241257,1
20241128,1
20243089,1
20242181,2
20243082,2
20243150,4
20243170,5
20243239,5
20242040,1
20243084,1
20241030,1
20243127,2
20243003,4
20243266,4
20241042,4
20243121,4
20241175,5
20243072,1
20244057,1
20241091,2
20243201,3
20242135,3
20243225,3
20241167,4
20244060,4
20241268,4
20244013,4
20243235,4
20244059,4
20241266,4
20243131,6
20242080,6
20241287,1
20241152,1
20243161,2
20242042,2
20243210,3
20244025,3
20243088,4
20241211,4
20242007,4
20241204,4
20244062,6
20241137,6
20243117,6
20242081,6
20243206,5
20248003,1
20244032,1
20241153,1
20242138,1
20243198,2
20242107,4
20243080,5
20242204,5
20242139,5
20241103,4
20242129,4
20244027,4
20243006,6
20243108,6
20243212,5
20241237,5
20241052,1
20241308,1
20246027,1
20244072,2
20241195,4
20244043,4
20241102,4
20243194,4
20243070,6
20243165,5
20241063,5
20241132,5
20241292,5
20241189,1
20241233,1
20242115,3
20242167,3
20241016,4
20243234,4
20246025,4
20241220,4
20241034,6
20242012,6
20243009,1
20241269,3
20242093,3
20242176,3
20242255,4
20241066,6
20242175,6
20243207,5
20242029,5
20241246,5
20241078,1
20243064,1
20241013,1
20246019,1
20242257,3
20241138,3
20244014,4
20244069,6
20242053,6
20243111,6
20243067,5
20242186,5
20242250,1
20243167,1
20243106,1
20242098,1
20241179,2
20242070,2
20243261,2
20243227,3
20242243,3
20242102,4
20241109,1
20243187,1
20241301,4
20243135,6
20241248,2
20243268,3
20242071,4
20241020,4
20241294,6
20241304,6
20242123,5
20242144,1
20241199,1
20243066,1
20243233,1
20243203,1
20242209,2
20242056,2
20242130,2
20243109,3
20243010,4
20243181,4
20246018,4
20241071,6
20241186,6
20243078,5
20241223,5
20241221,5
20241143,5
20243242,5
20242189,1
20242170,1
20243043,2
20241140,2
20244063,3
20241131,3
20242172,4
20241111,4
20242055,6
20241017,6
20244067,5
20246024,1
20241254,1
20243011,3
20246011,4
20242177,4
20241127,6
20241210,6
20242132,5
20242184,5
20241253,1
20243024,1
20242224,1
20243031,1
20242069,1
20243156,1
20242251,2
20244034,2
20242090,3
20243231,4
20242194,4
20243142,4
20242043,4
20243124,4
20244007,4
20242060,4
20243104,6
20244041,5
20246026,1
20243021,1
20242155,2
20242032,3
20241285,6
20244066,5
20242064,5
20242164,5
20244035,5
20243018,3
20242086,3
20243217,3
20243251,5
20243058,5
20244046,1
20243085,2
20244039,3
20243240,4
20246002,4
20242099,4
20243063,6
20241176,6
20247022,6
20241086,6
20241224,1
20241265,2
20241202,2
20246023,3
20241293,4
20241299,4
20244078,4
20243164,4
20242201,4
20241307,5
20242074,5
20241243,1
20247034,1
20241260,1
20243004,1
20246014,2
20242024,3
20243169,4
20243081,4
20242169,4
20241110,4
20241082,5
20241159,1
20246022,1
20241229,2
20242026,3
20242268,3
20242238,3
20242122,3
20241046,4
20243192,4
20241032,4
20241031,4
20243254,6
20243133,6
20241203,5
20243118,1
20243173,1
20243199,2
20244003,3
20241298,3
20242112,3
20243092,4
20243042,4
20244005,6
20243178,6
20244050,6
20241208,5
20242259,2
20242212,2
20243019,3
20241036,3
20242226,4
20247007,4
20243074,4
20241003,4
20241277,6
20241249,6
20242020,6
20242108,5
20243120,5
20242187,5
20243116,1
20242133,1
20241092,1
20242121,2
20243214,3
20241118,3
20243157,3
20241190,3
20241097,4
20242265,4
20241250,4
20242200,6
20242234,5
20242048,1
20242003,4
20243252,4
20243061,4
20242162,4
20244071,6
20241047,6
20241205,6
20241024,5
20242096,5
20242240,1
20243139,1
