user_id,road_user_type,gender,age,age_group,age_group_id
1280,Motorcycle rider,Male,18,17_to_25,2
1281,Driver,Male,15,0_to_16,5
1282,Driver,Male,45,40_to_64,4
1283,Passenger,Male,39,26_to_39,3
1284,Motorcycle rider,Male,26,26_to_39,3
1285,Motorcycle rider,Male,58,40_to_64,4
1286,Driver,Male,51,40_to_64,4
1287,Driver,Male,30,26_to_39,3
1288,Pedestrian,Male,12,0_to_16,5
1289,Passenger,Male,25,17_to_25,2
1290,Motorcycle rider,Male,17,17_to_25,2
1291,Motorcycle rider,Female,18,17_to_25,2
1292,Motorcycle rider,Male,17,17_to_25,2
1293,Driver,Male,80,75_or_older,6
1294,Pedestrian,Male,76,75_or_older,6
1295,Driver,Male,30,26_to_39,3
1296,Driver,Male,70,65_to_74,1
1297,Pedestrian,Male,73,65_to_74,1
1298,Driver,Male,53,40_to_64,4
1299,Pedestrian,Female,88,75_or_older,6
1300,Driver,Male,73,65_to_74,1
1301,Motorcycle rider,Male,60,40_to_64,4
1302,Driver,Male,37,26_to_39,3
1303,Passenger,Male,39,26_to_39,3
1304,Pedestrian,Male,25,17_to_25,2
1305,Driver,Male,50,40_to_64,4
1306,Motorcycle rider,Male,65,65_to_74,1
1307,Motorcycle rider,Male,71,65_to_74,1
