user_id,road_user_type,gender,age,age_group,age_group_id
480,Passenger,Male,60,40_to_64,4
481,Driver,Male,67,65_to_74,1
482,Driver,Male,59,40_to_64,4
483,Passenger,Male,17,17_to_25,2
484,Driver,Male,29,26_to_39,3
485,Driver,Male,32,26_to_39,3
486,Driver,Female,72,65_to_74,1
487,Passenger,Male,19,17_to_25,2
488,Driver,Male,47,40_to_64,4
489,Passenger,Male,82,75_or_older,6
490,Passenger,Female,17,17_to_25,2
491,Driver,Male,18,17_to_25,2
492,Driver,Male,80,75_or_older,6
493,Driver,Male,18,17_to_25,2
494,Driver,Male,18,17_to_25,2
495,Motorcycle rider,Female,26,26_to_39,3
496,Driver,Male,73,65_to_74,1
497,Driver,Female,33,26_to_39,3
498,Passenger,Male,0,0_to_16,5
499,Driver,Male,18,17_to_25,2
500,Motorcycle rider,Male,20,17_to_25,2
