vehicle_id,crash_id,bus_flag,heavy_rigid_flag,articulated_flag,State,vehicle_type
2741,20212108,False,False,False,VIC,Other
2742,20213187,False,False,True,QLD,Articulated Truck
2743,20212145,False,False,False,VIC,Other
2744,20214071,False,False,False,SA,Other
2745,20211225,False,False,False,NSW,Other
2746,20211166,False,False,False,NSW,Other
2747,20211178,False,False,False,NSW,Other
2748,20214004,False,False,False,SA,Other
2749,20211200,False,False,False,NSW,Other
2750,20215156,False,False,False,WA,Other
2751,20211155,False,False,False,NSW,Other
2752,20211170,False,False,False,NSW,Other
2753,20215047,False,False,False,WA,Other
2754,20212198,False,False,False,VIC,Other
2755,20212013,False,False,False,VIC,Other
2756,20214049,False,False,True,SA,Articulated Truck
