lga_name,state,lga_code
Goondiwindi,QLD,256
Clare and Gilbert Valleys,SA,257
West Torrens,SA,258
Whitehorse,VIC,259
Cloncurry,QLD,260
Sorell,TAS,261
Towong,VIC,262
Grant,SA,263
Hepburn,VIC,264
Circular Head,TAS,265
Swan Hill,VIC,266
Murrumbidgee,NSW,267
Orange,NSW,268
Walkerville,SA,269
Wentworth,NSW,270
Tasman,TAS,271
Latrobe (Tas.),TAS,272
Port Augusta,SA,273
Liverpool Plains,NSW,274
Banana,QLD,275
Eurobodalla,NSW,276
Barunga West,SA,277
West Coast,TAS,278
Etheridge,QLD,279
Bland,NSW,280
Oberon,NSW,281
Corangamite,VIC,282
Yorke Peninsula,SA,283
Derwent Valley,TAS,284
Port Pirie,SA,285
Devonport,TAS,286
Flinders (Qld),QLD,287
Burwood,NSW,288
Alice Springs,NT,289
Victoria Daly,NT,290
Gwydir,NSW,291
Banyule,VIC,292
Coonamble,NSW,293
Kempsey,NSW,294
Carrathool,NSW,295
Barcoo,QLD,296
Hobsons Bay,VIC,297
Temora,NSW,298
Karoonda East Murray,SA,299
Unincorporated Vic,VIC,300
Gannawarra,VIC,301
Ceduna,SA,302
Darwin,NT,303
Central Desert,NT,304
Murweh,QLD,305
Renmark Paringa,SA,306
Loxton Waikerie,SA,307
Central Coast (Tas.),TAS,308
Norwood Payneham and St Peters,SA,309
MacDonnell,NT,310
Leeton,NSW,311
Kingborough,TAS,312
Copper Coast,SA,313
Lockhart,NSW,314
Naracoorte Lucindale,SA,315
Southern Mallee,SA,316
Kentish,TAS,317
Goyder,SA,318
Flinders Ranges,SA,319
Loddon,VIC,320
Junee,NSW,321
Victor Harbor,SA,322
Burnside,SA,323
Coomalie ,NT,324
Mosman,NSW,325
Glamorgan-Spring Bay,TAS,326
Southern Midlands,TAS,327
Mount Alexander,VIC,328
North Sydney,NSW,329
Roper Gulf,NT,330
Woollahra,NSW,331
Prospect,SA,332
Northern Peninsula Area,QLD,333
Unincorporated NT,NT,334
Orroroo Carrieton,SA,335
Central Goldfields,VIC,336
Central Darling,NSW,337
Balonne,QLD,338
Walgett,NSW,339
Coolamon,NSW,340
Bulloo,QLD,341
Lane Cove,NSW,342
Walcha,NSW,343
Bogan,NSW,344
Cleve,SA,345
West Arnhem,NT,346
King Island,TAS,347
Kangaroo Island,SA,348
Uralla,NSW,349
Holdfast Bay,SA,350
Brewarrina,NSW,351
East Arnhem,NT,352
Port Lincoln,SA,353
Carpentaria,QLD,354
Longreach,QLD,355
Lower Eyre Peninsula,SA,356
York,WA,357
Rockingham,WA,358
Plantagenet,WA,359
Kwinana,WA,360
Murray,WA,361
Dumbleyung,WA,362
Port Hedland,WA,363
Stirling,WA,364
Robe,SA,365
Cambridge,WA,366
Wanneroo,WA,367
Gosnells,WA,368
Dandaragan,WA,369
Serpentine-Jarrahdale,WA,370
Mandurah,WA,371
Woodanilling,WA,372
Dowerin,WA,373
Kalgoorlie-Boulder,WA,374
Greater Geraldton,WA,375
Harvey,WA,376
Bayswater,WA,377
Swan,WA,378
Doomadgee,QLD,379
Croydon,QLD,380
Albany,WA,381
Central Highlands (Tas.),TAS,382
Chittering,WA,383
Canning,WA,384
Perenjori,WA,385
Mount Magnet,WA,386
Donnybrook-Balingup,WA,387
Hope Vale,QLD,388
Augusta Margaret River,WA,389
Vincent,WA,390
Wickepin,WA,391
Cockburn,WA,392
Victoria Park,WA,393
Armadale,WA,394
Bunbury,WA,395
Gingin,WA,396
Moora,WA,397
Perth,WA,398
Busselton,WA,399
Williams,WA,400
Quilpie,QLD,401
Kojonup,WA,402
Mount Marshall,WA,403
Kingston (SA),SA,404
Karratha,WA,405
Elliston,SA,406
Coolgardie,WA,407
Derby-West Kimberley,WA,408
Mundaring,WA,409
Belmont,WA,410
Nungarin,WA,411
Bayside (Vic.),VIC,412
Northam,WA,413
Melville,WA,414
Bassendean,WA,415
Yilgarn,WA,416
Broome,WA,417
Chapman Valley,WA,418
Broomehill-Tambellup,WA,419
Meekatharra,WA,420
Esperance,WA,421
Capel,WA,422
Dundas,WA,423
Lake Grace,WA,424
Dardanup,WA,425
Kondinin,WA,426
Kent,WA,427
Canada Bay,NSW,428
Wagin,WA,429
Manjimup,WA,430
Denmark,WA,431
Boddington,WA,432
Bruce Rock,WA,433
Kulin,WA,434
Cuballing,WA,435
Dungog,NSW,436
Carnarvon,WA,437
Hindmarsh,VIC,438
Wyndham-East Kimberley,WA,439
Beverley,WA,440
Ravensthorpe,WA,441
Joondalup,WA,442
Coober Pedy,SA,443
Katherine,NT,444
Dalwallinu,WA,445
Gnowangerup,WA,446
Wongan-Ballidu,WA,447
Collie,WA,448
Cootamundra-Gundagai,NSW,449
East Pilbara,WA,450
Menzies,WA,451
Halls Creek,WA,452
Irwin,WA,453
Yarrabah,QLD,454
Pingelly,WA,455
Cue,WA,456
Kalamunda,WA,457
Quairading,WA,458
Mornington,QLD,459
Wandering,WA,460
Nannup,WA,461
Broken Hill,NSW,462
Ngaanyatjarraku,WA,463
Corrigin,WA,464
Anangu Pitjantjatjara Yankunytjatjara,SA,465
Fremantle,WA,466
Toodyay,WA,467
Streaky Bay,SA,468
Victoria Plains,WA,469
Northampton,WA,470
Bridgetown-Greenbushes,WA,471
Kimba,SA,472
Katanning,WA,473
Jerramungup,WA,474
Carnamah,WA,475
Ashburton,WA,476
West Arthur,WA,477
Mount Gambier,SA,478
South Perth,WA,479
Brookton,WA,480
Burke,QLD,481
Nedlands,WA,482
Franklin Harbour,SA,483
Waroona,WA,484
Cunderdin,WA,485
Cranbrook,WA,486
Kellerberrin,WA,487
Wagait,NT,488
Weipa,QLD,489
Pormpuraaw,QLD,490
Bourke,NSW,491
Palm Island,QLD,492
West Daly,NT,493
Mosman Park,WA,494
Narrogin,WA,495
Merredin,WA,496
Westonia,WA,497
Morawa,WA,498
Claremont,WA,499
Mingenew,WA,500
Goomalling,WA,501
Subiaco,WA,502
Trayning,WA,503
Shark Bay,WA,504
Exmouth,WA,505
Sandstone,WA,506
Boyup Brook,WA,507
Cottesloe ,WA,508
Leonora,WA,509
