user_id,crash_id,age,gender,role,age_group,deceased
3245,20215077,24,Female,Passenger,17_to_25,True
3246,20213129,24,Male,Motorcycle rider,17_to_25,True
3247,20212066,45,Male,Motorcycle rider,40_to_64,True
3248,20214047,31,Male,Motorcycle rider,26_to_39,True
3249,20211191,36,Male,Motorcycle rider,26_to_39,True
3250,20215044,20,Female,Driver,17_to_25,True
3251,20212106,23,Male,Driver,17_to_25,True
3252,20212134,22,Female,Passenger,17_to_25,True
3253,20212053,38,Male,Motorcycle rider,26_to_39,True
3254,20217008,71,Male,Motorcycle rider,65_to_74,True
3255,20212111,49,Male,Motorcycle rider,40_to_64,True
3256,20211011,46,Male,Driver,40_to_64,True
3257,20213068,19,Male,Driver,17_to_25,True
3258,20213157,52,Male,Driver,40_to_64,True
3259,20212012,52,Male,Pedal cyclist,40_to_64,True
3260,20211203,86,Female,Driver,75_or_older,True
3261,20215140,27,Female,Motorcycle pillion passenger,26_to_39,True
3262,20213090,52,Male,Motorcycle rider,40_to_64,True
3263,20212072,50,Male,Motorcycle rider,40_to_64,True
3264,20215088,20,Male,Driver,17_to_25,True
3265,20215155,61,Male,Driver,40_to_64,True
3266,20215147,56,Male,Driver,40_to_64,True
3267,20213155,34,Male,Driver,26_to_39,True
3268,20215055,83,Female,Pedestrian,75_or_older,True
3269,20211020,37,Male,Motorcycle rider,26_to_39,True
3270,20213130,67,Male,Driver,65_to_74,True
3271,20215121,49,Male,Driver,40_to_64,True
3272,20216022,84,Female,Driver,75_or_older,True
3273,20215014,76,Male,Motorcycle rider,75_or_older,True
3274,20212090,69,Male,Driver,65_to_74,True
3275,20211030,60,Male,Driver,40_to_64,True
3276,20215040,90,Male,Pedestrian,75_or_older,True
3277,20213188,32,Female,Driver,26_to_39,True
3278,20212159,16,Male,Passenger,0_to_16,True
3279,20212159,15,Male,Passenger,0_to_16,True
3280,20212159,17,Male,Passenger,17_to_25,True
3281,20212159,16,Male,Driver,0_to_16,True
3282,20214013,24,Male,Driver,17_to_25,True
3283,20215142,15,Male,Passenger,0_to_16,True
3284,20215142,17,Male,Passenger,17_to_25,True
3285,20211154,64,Male,Driver,40_to_64,True
3286,20215132,63,Female,Pedal cyclist,40_to_64,True
3287,20212077,71,Female,Driver,65_to_74,True
3288,20212077,42,Female,Passenger,40_to_64,True
3289,20216014,4,Female,Pedestrian,0_to_16,True
3290,20211094,19,Female,Driver,17_to_25,True
3291,20212146,62,Male,Pedal cyclist,40_to_64,True
3292,20211015,10,Male,Passenger,0_to_16,True
3293,20211015,32,Female,Driver,26_to_39,True
3294,20211015,6,Female,Passenger,0_to_16,True
3295,20211108,32,Male,Motorcycle rider,26_to_39,True
3296,20213165,62,Male,Driver,40_to_64,True
3297,20214086,70,Female,Pedal cyclist,65_to_74,True
3298,20214079,91,Female,Driver,75_or_older,True
3299,20214010,74,Male,Motorcycle rider,65_to_74,True
3300,20215128,72,Male,Passenger,65_to_74,True
3301,20213062,34,Male,Motorcycle rider,26_to_39,True
3302,20215089,66,Female,Passenger,65_to_74,True
3303,20211055,38,Male,Pedestrian,26_to_39,True
3304,20213128,37,Female,Driver,26_to_39,True
3305,20213128,39,Male,Passenger,26_to_39,True
3306,20213128,2,Female,Passenger,0_to_16,True
3307,20213128,34,Male,Driver,26_to_39,True
3308,20211048,52,Male,Driver,40_to_64,True
3309,20211048,41,Female,Driver,40_to_64,True
3310,20213210,29,Male,Passenger,26_to_39,True
3311,20212055,35,Female,Driver,26_to_39,True
