Crash ID,bus_flag,heavy_rigid_flag,articulated_flag,vehicle_type,vehicle_id
20243264,False,False,False,Other,607
20241136,False,False,False,Other,608
20241281,False,True,False,Heavy Rigid Truck,609
20241076,False,False,False,Other,610
20244073,False,False,False,Other,611
20242094,False,False,False,Other,612
20241058,False,False,False,Other,613
20241019,False,False,False,Other,614
20241275,False,False,False,Other,615
20243222,False,False,False,Other,616
20241065,True,False,False,Bus,617
20243094,True,False,False,Bus,618
20243145,False,False,False,Other,619
20241305,False,False,False,Other,620
20242146,False,False,False,Other,621
20241231,False,False,False,Other,622
20241145,False,False,False,Other,623
20241228,False,False,False,Other,624
20243030,False,False,False,Other,625
20243034,False,False,False,Other,626
20242058,False,False,False,Other,627
20241085,False,False,False,Other,628
20243091,False,False,False,Other,629
20243184,False,False,False,Other,630
20242104,False,False,False,Other,631
20248004,False,False,False,Other,632
20242101,False,False,False,Other,633
20243195,False,False,False,Other,634
20243055,False,False,False,Other,635
20241212,False,False,False,Other,636
20241241,False,False,False,Other,637
20243071,False,False,False,Other,638
20241171,False,False,False,Other,639
20243193,False,False,False,Other,640
20244011,False,False,True,Articulated Truck,641
20242225,False,False,False,Other,642
20242160,False,False,False,Other,643
20241183,False,True,False,Heavy Rigid Truck,644
20241025,False,True,True,Heavy Rigid Truck,645
20241079,False,False,False,Other,646
20246010,False,False,False,Other,647
20242235,False,False,False,Other,648
20242113,False,False,True,Articulated Truck,649
20242025,False,False,False,Other,650
20241148,False,False,False,Other,651
20241262,False,False,False,Other,652
20241172,False,False,False,Other,653
20242192,False,False,False,Other,654
20241014,False,False,False,Other,655
20242191,False,True,False,Heavy Rigid Truck,656
20243189,False,False,False,Other,657
20244033,False,False,False,Other,658
20241206,False,False,True,Articulated Truck,659
20243069,False,False,False,Other,660
20243188,False,False,False,Other,661
20241130,True,False,False,Bus,662
20241178,False,False,False,Other,663
20248011,False,False,False,Other,664
20241043,False,False,True,Articulated Truck,665
20244054,False,False,False,Other,666
20243032,False,False,False,Other,667
20244015,False,False,False,Other,668
20243112,False,False,True,Articulated Truck,669
20243253,False,False,False,Other,670
20246028,False,False,False,Other,671
20242244,False,False,True,Articulated Truck,672
20244006,False,False,False,Other,673
20241154,False,False,False,Other,674
20241146,False,False,False,Other,675
20242009,False,False,False,Other,676
20241217,False,False,False,Other,677
20242030,False,False,False,Other,678
20243025,False,True,False,Heavy Rigid Truck,679
20242168,False,False,False,Other,680
20246021,False,False,False,Other,681
20241238,False,False,False,Other,682
20241158,True,False,False,Bus,683
20243228,True,False,False,Bus,684
20242210,False,False,False,Other,685
20242253,False,False,False,Other,686
20242256,False,False,False,Other,687
20241289,False,False,False,Other,688
20243045,False,False,True,Articulated Truck,689
20242028,False,False,False,Other,690
20243054,False,False,False,Other,691
20241187,False,False,False,Other,692
20246007,False,False,False,Other,693
20241126,False,True,False,Heavy Rigid Truck,694
20244049,False,False,False,Other,695
20242021,False,False,False,Other,696
20242045,False,False,False,Other,697
20243101,False,False,False,Other,698
20242206,False,False,False,Other,699
20242117,False,False,False,Other,700
20241226,False,False,True,Articulated Truck,701
20242079,False,False,False,Other,702
20241156,False,False,True,Articulated Truck,703
20243093,False,False,False,Other,704
20243125,False,False,False,Other,705
20243134,False,False,False,Other,706
20242239,False,False,False,Other,707
20241232,False,False,False,Other,708
20241061,False,False,False,Other,709
20244056,False,False,False,Other,710
20242039,False,False,False,Other,711
20241182,False,False,False,Other,712
20241044,False,False,False,Other,713
20242131,False,False,False,Other,714
20244031,False,False,False,Other,715
20242059,False,False,False,Other,716
20242033,False,False,False,Other,717
20241207,False,False,False,Other,718
20243033,False,False,False,Other,719
20242159,False,False,False,Other,720
20243177,False,False,False,Other,721
20243241,False,False,False,Other,722
20243132,False,False,False,Other,723
20243159,False,False,False,Other,724
20242072,False,False,False,Other,725
20243028,False,False,False,Other,726
20243105,False,False,False,Other,727
20242258,False,False,True,Articulated Truck,728
20241007,False,False,False,Other,729
20241227,False,False,False,Other,730
20243130,False,False,False,Other,731
20242065,False,True,False,Heavy Rigid Truck,732
20243259,False,False,False,Other,733
20244052,False,False,False,Other,734
20242247,False,False,False,Other,735
20241093,False,False,False,Other,736
20241276,False,False,False,Other,737
20242208,False,False,False,Other,738
20241157,False,False,False,Other,739
20244065,False,False,False,Other,740
20242054,False,False,True,Articulated Truck,741
20242221,False,True,False,Heavy Rigid Truck,742
20242197,False,False,False,Other,743
20241075,False,False,True,Articulated Truck,744
20241279,False,False,False,Other,745
20243095,False,False,False,Other,746
20243272,False,False,False,Other,747
20243027,False,False,False,Other,748
20248001,False,False,False,Other,749
20242228,False,False,False,Other,750
20242105,False,False,False,Other,751
20241069,False,False,False,Other,752
20244074,False,False,False,Other,753
20244008,False,False,False,Other,754
20243100,False,False,False,Other,755
20241122,False,False,False,Other,756
20244064,False,False,False,Other,757
20243138,False,False,False,Other,758
20241141,False,False,False,Other,759
20241244,False,True,False,Heavy Rigid Truck,760
20242236,False,False,False,Other,761
20242195,False,False,False,Other,762
20242010,False,False,False,Other,763
20242205,False,False,False,Other,764
20244002,False,False,False,Other,765
20242041,False,False,False,Other,766
20242084,False,False,False,Other,767
20243230,False,False,True,Articulated Truck,768
20241114,False,False,False,Other,769
20243068,False,False,False,Other,770
20243099,False,False,False,Other,771
20242145,False,False,False,Other,772
20243062,False,True,False,Heavy Rigid Truck,773
20244048,False,False,False,Other,774
20241112,False,False,False,Other,775
20243047,False,False,False,Other,776
20242198,False,False,False,Other,777
20243202,False,False,False,Other,778
20244029,False,False,False,Other,779
20241185,False,False,False,Other,780
20242153,False,False,False,Other,781
20243257,False,False,False,Other,782
20243149,False,False,False,Other,783
20242202,False,False,False,Other,784
20243245,False,False,False,Other,785
20244004,False,False,False,Other,786
20241123,False,False,False,Other,787
20242222,False,False,False,Other,788
20242248,False,False,False,Other,789
20241213,False,False,False,Other,790
20242220,False,False,False,Other,791
20242047,False,False,False,Other,792
20243270,False,False,False,Other,793
20241121,False,False,True,Articulated Truck,794
20243016,False,False,True,Articulated Truck,795
20241038,False,False,False,Other,796
20243200,False,False,False,Other,797
20243039,False,False,False,Other,798
20242246,False,False,False,Other,799
20242063,False,False,False,Other,800
20243180,False,False,False,Other,801
20241297,False,False,False,Other,802
20243059,False,False,False,Other,803
20242242,False,False,False,Other,804
20242091,False,False,False,Other,805
20243077,False,False,False,Other,806
20244038,False,False,False,Other,807
20243136,False,False,False,Other,808
20243211,False,False,False,Other,809
20241270,False,False,False,Other,810
20241225,False,False,True,Articulated Truck,811
20241084,False,False,True,Articulated Truck,812
20243050,False,False,False,Other,813
20243216,False,False,False,Other,814
20242190,False,True,False,Heavy Rigid Truck,815
20243115,False,False,False,Other,816
20242116,False,False,False,Other,817
20241129,False,True,True,Heavy Rigid Truck,818
20244076,False,False,False,Other,819
20243141,False,False,False,Other,820
20241095,False,False,False,Other,821
20242082,False,False,False,Other,822
20241090,False,False,False,Other,823
20241113,False,False,False,Other,824
20243258,False,False,False,Other,825
20244053,False,False,False,Other,826
20241064,False,False,True,Articulated Truck,827
20243175,False,False,False,Other,828
20243183,False,False,False,Other,829
20241049,False,False,False,Other,830
20241242,False,True,False,Heavy Rigid Truck,831
20241144,False,False,False,Other,832
20243262,False,False,False,Other,833
20241001,False,False,True,Articulated Truck,834
20242231,False,False,False,Other,835
20241018,False,False,False,Other,836
20241105,False,False,False,Other,837
20241282,False,False,False,Other,838
20243204,False,False,False,Other,839
20243224,False,False,False,Other,840
20243179,False,False,False,Other,841
20241192,False,False,False,Other,842
20241026,False,False,False,Other,843
20241067,False,False,False,Other,844
20242001,False,False,False,Other,845
20243013,False,False,False,Other,846
20241191,False,False,True,Articulated Truck,847
20242031,False,False,False,Other,848
20241117,False,False,False,Other,849
20246020,False,False,False,Other,850
20241012,False,False,False,Other,851
20242263,False,False,False,Other,852
20242038,False,False,False,Other,853
20246005,False,False,False,Other,854
20244030,False,False,False,Other,855
20242061,False,False,False,Other,856
20244036,False,False,False,Other,857
20242134,False,False,False,Other,858
20243060,False,False,False,Other,859
20242002,False,False,False,Other,860
20243057,False,False,False,Other,861
20243166,False,False,False,Other,862
20242203,False,False,False,Other,863
20243196,False,False,False,Other,864
20241214,False,True,False,Heavy Rigid Truck,865
20242083,False,False,False,Other,866
20241272,False,True,False,Heavy Rigid Truck,867
